iter	Passed	Remaining
0	164	164597
1	177	88372
2	187	62458
3	197	49212
4	208	41479
5	219	36416
6	228	32458
7	239	29662
8	249	27422
9	258	25588
10	270	24277
11	278	22946
12	288	21927
13	298	20995
14	306	20140
15	316	19454
16	325	18797
17	335	18292
18	343	17751
19	353	17343
20	363	16934
21	372	16544
22	381	16222
23	390	15884
24	400	15638
25	411	15413
26	421	15202
27	433	15061
28	444	14894
29	454	14693
30	465	14551
31	475	14371
32	485	14234
33	498	14149
34	506	13977
35	516	13842
36	527	13725
37	538	13629
38	550	13555
39	560	13459
40	570	13338
41	581	13263
42	592	13183
43	602	13086
44	612	13005
45	621	12884
46	631	12807
47	640	12706
48	651	12641
49	659	12532
50	670	12470
51	680	12401
52	689	12315
53	699	12253
54	708	12171
55	719	12121
56	728	12056
57	737	11978
58	748	11933
59	757	11859
60	766	11803
61	775	11729
62	784	11666
63	793	11608
64	802	11542
65	811	11488
66	820	11428
67	830	11383
68	838	11319
69	848	11271
70	856	11204
71	866	11162
72	874	11109
73	883	11060
74	893	11019
75	902	10967
76	912	10933
77	921	10886
78	932	10873
79	943	10845
80	951	10801
81	962	10776
82	972	10746
83	983	10727
84	993	10698
85	1006	10692
86	1017	10681
87	1028	10663
88	1039	10637
89	1048	10602
90	1057	10560
91	1067	10535
92	1079	10531
93	1091	10518
94	1105	10529
95	1118	10533
96	1131	10529
97	1140	10501
98	1152	10484
99	1163	10468
100	1173	10442
101	1183	10420
102	1194	10402
103	1205	10383
104	1216	10370
105	1227	10355
106	1237	10329
107	1248	10308
108	1258	10283
109	1269	10274
110	1281	10265
111	1291	10240
112	1301	10218
113	1312	10202
114	1321	10171
115	1333	10161
116	1343	10141
117	1353	10116
118	1367	10121
119	1378	10105
120	1388	10084
121	1399	10070
122	1410	10056
123	1420	10034
124	1431	10019
125	1441	10000
126	1451	9977
127	1462	9961
128	1471	9934
129	1482	9920
130	1493	9904
131	1505	9902
132	1516	9888
133	1528	9881
134	1539	9866
135	1549	9843
136	1560	9831
137	1569	9806
138	1579	9785
139	1589	9766
140	1599	9742
141	1611	9735
142	1622	9720
143	1631	9701
144	1642	9682
145	1652	9666
146	1662	9648
147	1674	9638
148	1685	9624
149	1695	9606
150	1707	9601
151	1717	9581
152	1727	9564
153	1739	9554
154	1748	9533
155	1759	9520
156	1770	9506
157	1780	9486
158	1791	9477
159	1803	9468
160	1812	9447
161	1825	9440
162	1836	9429
163	1845	9408
164	1856	9396
165	1867	9383
166	1876	9361
167	1888	9351
168	1898	9337
169	1907	9315
170	1919	9307
171	1929	9290
172	1940	9276
173	1952	9269
174	1961	9249
175	1972	9234
176	1983	9221
177	1992	9202
178	2003	9190
179	2014	9176
180	2024	9159
181	2035	9150
182	2046	9134
183	2056	9118
184	2066	9105
185	2075	9084
186	2087	9075
187	2099	9067
188	2109	9049
189	2120	9040
190	2131	9027
191	2140	9008
192	2151	8997
193	2162	8982
194	2172	8966
195	2183	8956
196	2195	8948
197	2205	8932
198	2216	8920
199	2227	8911
200	2237	8895
201	2249	8887
202	2260	8874
203	2269	8854
204	2280	8843
205	2289	8823
206	2300	8811
207	2311	8800
208	2321	8787
209	2329	8764
210	2340	8750
211	2349	8732
212	2358	8712
213	2367	8693
214	2375	8672
215	2384	8654
216	2392	8632
217	2401	8614
218	2410	8594
219	2420	8580
220	2428	8558
221	2437	8540
222	2444	8518
223	2453	8500
224	2461	8479
225	2471	8463
226	2478	8441
227	2488	8427
228	2498	8411
229	2506	8391
230	2515	8375
231	2523	8354
232	2533	8340
233	2541	8320
234	2551	8305
235	2559	8284
236	2568	8268
237	2576	8247
238	2587	8239
239	2597	8223
240	2605	8204
241	2614	8188
242	2622	8168
243	2631	8153
244	2640	8135
245	2650	8122
246	2657	8103
247	2667	8087
248	2676	8073
249	2685	8057
250	2695	8044
251	2703	8026
252	2713	8012
253	2722	7995
254	2731	7981
255	2739	7962
256	2749	7947
257	2757	7930
258	2766	7913
259	2774	7897
260	2783	7880
261	2792	7864
262	2800	7847
263	2810	7836
264	2818	7818
265	2829	7806
266	2837	7788
267	2846	7775
268	2855	7759
269	2864	7743
270	2873	7730
271	2881	7712
272	2892	7702
273	2900	7684
274	2910	7674
275	2919	7657
276	2928	7642
277	2936	7625
278	2945	7611
279	2953	7595
280	2962	7580
281	2975	7574
282	2983	7557
283	2992	7544
284	3000	7527
285	3010	7514
286	3018	7497
287	3027	7484
288	3035	7467
289	3044	7453
290	3052	7437
291	3061	7424
292	3072	7413
293	3079	7395
294	3090	7385
295	3097	7367
296	3107	7355
297	3115	7339
298	3124	7325
299	3132	7309
300	3142	7297
301	3151	7283
302	3159	7267
303	3168	7254
304	3177	7239
305	3186	7226
306	3194	7210
307	3204	7199
308	3212	7183
309	3222	7172
310	3230	7156
311	3239	7143
312	3247	7127
313	3256	7115
314	3266	7102
315	3274	7087
316	3283	7074
317	3291	7058
318	3302	7049
319	3309	7033
320	3319	7021
321	3326	7004
322	3336	6992
323	3343	6976
324	3353	6964
325	3361	6949
326	3371	6939
327	3381	6927
328	3389	6911
329	3398	6899
330	3406	6884
331	3416	6874
332	3424	6859
333	3434	6848
334	3442	6834
335	3452	6822
336	3460	6808
337	3470	6797
338	3480	6786
339	3488	6771
340	3498	6760
341	3505	6744
342	3516	6735
343	3524	6721
344	3534	6709
345	3541	6694
346	3551	6684
347	3561	6673
348	3569	6658
349	3579	6647
350	3587	6632
351	3597	6621
352	3604	6607
353	3614	6595
354	3623	6583
355	3632	6571
356	3641	6558
357	3650	6545
358	3659	6534
359	3668	6521
360	3676	6507
361	3687	6498
362	3695	6484
363	3704	6472
364	3712	6458
365	3722	6448
366	3730	6434
367	3740	6424
368	3748	6410
369	3758	6399
370	3767	6386
371	3777	6376
372	3787	6366
373	3795	6352
374	3805	6342
375	3813	6328
376	3822	6316
377	3829	6302
378	3839	6290
379	3847	6276
380	3856	6265
381	3865	6253
382	3873	6240
383	3882	6228
384	3891	6216
385	3902	6207
386	3911	6195
387	3921	6185
388	3932	6176
389	3941	6164
390	3952	6156
391	3963	6147
392	3972	6136
393	3983	6126
394	3991	6112
395	4001	6102
396	4008	6088
397	4018	6077
398	4025	6063
399	4035	6053
400	4044	6040
401	4053	6029
402	4063	6020
403	4071	6007
404	4081	5995
405	4089	5982
406	4098	5971
407	4106	5958
408	4116	5948
409	4124	5935
410	4133	5924
411	4141	5910
412	4151	5899
413	4160	5888
414	4168	5876
415	4181	5870
416	4189	5857
417	4198	5845
418	4206	5832
419	4215	5821
